Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1773,"1773.8680","Mycobacterium tuberculosis strain SLM063","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8209","Mycobacterium tuberculosis strain MTB2","isoniazid","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8275","Mycobacterium tuberculosis strain 98-20044","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.882, F1 score:0.872, AUC:0.911","Computational Method",,
1773,"1773.8661","Mycobacterium tuberculosis strain CSV11678","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8675","Mycobacterium tuberculosis strain TBV5365","isoniazid","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8216","Mycobacterium tuberculosis strain Beijing/391","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.882, F1 score:0.872, AUC:0.911","Computational Method",,
1773,"1773.8721","Mycobacterium tuberculosis strain TBDM2717","isoniazid","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8664","Mycobacterium tuberculosis strain LN180","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.9502","Mycobacterium tuberculosis strain 77-11","isoniazid","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8205","Mycobacterium tuberculosis strain MTB1","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8662","Mycobacterium tuberculosis strain LE486","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8161","Mycobacterium tuberculosis strain ISOLATE48","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.10511","Mycobacterium tuberculosis strain UT2","isoniazid","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8650","Mycobacterium tuberculosis strain HN-024","isoniazid","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8164","Mycobacterium tuberculosis strain EKB_8","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.882, F1 score:0.872, AUC:0.911","Computational Method",,
1773,"1773.8723","Mycobacterium tuberculosis strain TBV4768","isoniazid","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8302","Mycobacterium tuberculosis strain 99-02018","isoniazid","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8678","Mycobacterium tuberculosis strain SLM060","isoniazid","Resistant",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
1773,"1773.8715","Mycobacterium tuberculosis strain TBDM1506","isoniazid","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.869, F1 score:0.864, AUC:0.926","Computational Method",,
